,Company,Time,Financial Distress,CLASS,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83
7,0.0023752969121140144,0.23076923076923078,0.07929916946224852,0,0.01896399745329646,0.38539340340847056,0.8426187136530551,0.12815108162572833,0.4468905373427986,0.4323675592371412,0.019383858699966287,0.40960493966101696,0.5830490204004636,0.37790182673576656,0.8155468125338485,0.06402744674731183,0.15738122781082187,0.14871115889512734,3.952516313134846e-07,0.45880401909209884,9.501129943502825e-07,0.005958101321086619,6.1255e-07,0.0007719307874559155,0.07992218968415853,0.00046494722762423316,0.5511149724876918,0.8226200251224858,0.06104387547391879,0.3709043250327655,0.9686938405273109,0.10729447163228512,0.06602120325580049,0.6407615588544332,1.2961218836565098e-08,2.193044942506513e-06,0.9413861152837913,1.1085182528851835e-06,2.2549019607843137e-06,0.47215292356645927,0.0237870159453303,2.490781169705647e-07,3.918227868179765e-06,0.17959455817159142,0.08462210557571807,0.463059678372023,0.0001650057970466689,0.01763320596854066,0.6239732197831398,0.035120197849046186,2.7075295448230076e-06,0.013466976774331566,0.16037313885435303,0.4488994722615523,0.6113382805795344,0.4216069731685258,0.4338986351325037,0.0020428633595523673,0.64261,0.19606488726754667,0.0008732557243621257,0.48049114010597693,0.9999084441461888,0.4387815701347762,0.8498142836371326,0.7988935857379159,0.6934318596000699,0.4957741220975089,0.0,0.7811277428134034,0.3380281690140845,0.0414432663634447,0.09306690114212236,0.0,0.8052840964222843,1.0,0.7457627118644066,0.0,0.07619769467767813,0.07655565109792162,0.28400000000000025,0.3999999999999999,0.8958333333333334,0.7777777777777777,0.013184098398733522,0.18749999999999997,0.38888888888888884
11,0.0023752969121140144,0.5384615384615385,0.07940936294302706,0,0.02831848752178875,0.495280350177173,0.6037152028074156,0.1575574271890139,0.527682504231918,0.5964939318050472,0.02798496115032561,0.40960515166666667,0.5659080496941278,0.5478920865953616,0.8528428641483898,0.06402785410557185,0.3962862447321224,0.04735263276656181,4.5997385353576465e-07,0.4588044643177911,9.642090395480226e-07,0.0406060272774644,1.0912857142857142e-07,0.007347600237765198,0.09406609463052526,0.0007321517794576954,0.5750619429159829,0.5842500502993491,0.06524402597026732,0.4696129558514881,0.9686412214279612,0.2425265959522639,0.05413347623323582,0.653563941133568,7.444321329639889e-09,1.8138141610479822e-06,0.9334439970209166,1.1883573333457907e-06,1.937647058823529e-06,0.4837106841267899,0.008667995444191345,1.4163492484193997e-06,5.598601384133159e-06,0.14017107031833728,0.046235443683192254,0.4628417603726694,0.0005048579058696298,0.017944687611531143,0.6554270122429403,0.04219717171487197,8.618066350207776e-07,0.02159589798041485,0.05062619401400977,0.4249517312395418,0.6761068201322631,0.4216072442468094,0.5231815043636815,0.006629793328333823,0.61576,0.22486050100914165,0.001215392437790374,0.5292856247507265,0.9999103260063676,0.47220343456672,0.5101887499504315,0.3399816210255468,0.6326664503083107,0.4917199671486524,0.5405101352042382,0.33972614390202405,0.4507042253521125,0.07671164794120305,0.2596153846153846,0.016460905349794275,0.12411943277747745,0.5,0.4067796610169492,0.4518951319932185,0.2405823350493646,0.21027243556133474,0.11111111111111116,0.0,0.7430555555555556,0.7777777777777777,0.02207243767650417,0.2708333333333333,0.4444444444444444
22,0.007125890736342043,0.23076923076923078,0.06461446512011454,0,0.01646336280135847,0.30011414505354894,0.674499482540333,0.09149445753840697,0.3009819822215132,0.37340846336608235,0.004130838404529387,0.4096047197853107,0.5040450588837686,0.2928594663138163,0.5999606871155092,0.06402742538856304,0.3255015187668307,0.06332709486454559,1.6237112272741786e-06,0.45880201737278353,3.11638418079096e-07,0.03338159679865014,3.5487142857142854e-07,0.005110688278529024,0.07683963942407966,0.00018113041947019994,0.4875631495961643,0.6934512966356533,0.04253861292532101,0.43441879221695734,0.9685837060425644,0.10396831901093498,0.006283057671697131,0.13287382189803618,8.873130193905818e-09,6.225641226378048e-07,0.9930677404831332,3.184952643711548e-07,5.489019607843137e-07,0.46403227173022793,0.0012042520880789674,2.013229805472519e-06,3.5334912638232282e-06,0.3292687860565977,0.03214024517988094,0.462051899566482,0.00016964672630109204,0.017448035502155974,0.5989675487546421,0.03250586973040506,1.165903023567455e-06,0.004782200349561329,0.07185690026382023,0.5124533401982236,0.6292594275329395,0.4216052267360065,0.3121404167182992,0.0014491498905927155,0.471957,0.48721574045092986,0.0008407662481740668,0.5311434106318729,0.9999104013015538,0.40380078853164847,0.8498142836371326,0.7988935857379159,0.6934318596000699,0.4957741220975089,0.0,0.7811277428134034,0.3380281690140845,0.0414432663634447,0.09306690114212236,0.0,0.8052840964222843,1.0,0.7457627118644066,0.0,0.07619769467767813,0.07655565109792162,0.28400000000000025,0.3999999999999999,0.8958333333333334,0.3055555555555555,0.0038743704577886505,0.6249999999999999,0.625
23,0.007125890736342043,0.3076923076923077,0.06624978016035706,0,0.019484440955973757,0.33598249114135126,0.5821237385278929,0.09780407240405797,0.3387218278340556,0.43410453990881653,0.007654731186232051,0.4096048595762712,0.5118037028054007,0.3549095820928438,0.6021515614074422,0.06402743139051809,0.41787784512676,0.043476818115451496,1.3524738535365624e-06,0.4588027421796813,3.5022598870056495e-07,0.0882329468902926,4.817714285714285e-07,0.015726212008929086,0.0818478506214475,0.0002091128837945755,0.5114972487691862,0.5929831048564701,0.043887653511099106,0.430019521762641,0.9686757661756029,0.0883615878739629,0.012755264606204561,0.19492996060862378,7.444044321329641e-08,8.617307970160635e-07,0.9837475858064353,3.7548377011887863e-07,6.589901960784313e-07,0.4695885071971231,0.0019447608200455584,4.985078697568737e-06,3.5142878817659252e-06,0.3048720505791688,0.0273293933346969,0.4629854008090849,0.00023589337434261275,0.01748859562900726,0.6150136428742716,0.034604799945358145,7.984331404187362e-07,0.006512511946642623,0.0488863450283531,0.48851847084566863,0.6302185875107275,0.4216061135815496,0.3419249765441059,0.0013647054434932093,0.6338900000000001,0.4417665914757213,0.000744628282286268,0.5042162839724234,0.9999090436195737,0.3902324353750474,0.8613604219264273,0.6473589413710715,0.7413161245225554,0.6357557054329162,0.17542937402414993,1.0,0.2816901408450705,0.04834859483719389,0.03359002722940775,0.06172839506172839,0.49655535687057295,1.0,0.6101694915254239,0.07568418503269547,0.09947731590396787,0.09986158008431034,0.0370370370370372,0.19999999999999996,0.7743055555555556,0.3055555555555555,0.005599335667042826,0.6458333333333333,0.6388888888888888
36,0.009501187648456057,0.23076923076923078,0.06996249772862775,0,0.01829513117392971,0.35817725237967624,0.8659017719710221,0.06609800169150197,0.3045970593709287,0.4157850125216721,0.010728633709991844,0.40960516237288136,0.573292101220794,0.3133550189289521,0.828671582824774,0.06402742218963832,0.13409802271373322,0.1740134591645761,4.4520112626302416e-07,0.4588026835433293,2.993220338983051e-07,0.08546489520300499,5.520928571428571e-07,0.010535811736553616,0.040584220808260976,0.0003680439536689206,0.4776651542941725,0.8646430921320942,0.051558505455492634,0.6036990532403377,0.9687061300102175,0.16096307396913856,0.042145815832922984,0.3849253481566103,7.887534626038782e-09,2.5654808519510816e-06,0.9635714496101524,3.001044597732609e-07,2.001862745098039e-06,0.46881466349095774,0.017291192103264998,7.152273760308557e-06,4.136537460215655e-06,0.11696092658739968,0.04969862446728931,0.4621367654433807,0.00022781536590352292,0.017681284617808955,0.615747311932492,0.03407204186932059,3.182529549516065e-06,0.006401045627888667,0.19186857506747126,0.522351654009525,0.7061436720682517,0.4216057315847654,0.27468002619979115,0.0014783019382929258,0.4923705,0.37351192082285517,0.0010277253976733933,0.5347114124551309,0.9999106828042109,0.38825285801481385,0.8498142836371326,0.7988935857379159,0.6934318596000699,0.4957741220975089,0.0,0.7811277428134034,0.3380281690140845,0.0414432663634447,0.09306690114212236,0.0,0.8052840964222843,1.0,0.7457627118644066,0.0,0.07619769467767813,0.07655565109792162,0.28400000000000025,0.3999999999999999,0.8958333333333334,0.611111111111111,0.005393360797683647,0.2916666666666667,0.5277777777777778
37,0.009501187648456057,0.3076923076923077,0.07522419994789527,0,0.019896940621058724,0.32347914123217103,0.8493010354446738,0.06413328739412907,0.24024904061754981,0.4584023630642779,0.015444510995122784,0.4096049568079096,0.5386557792330289,0.36416547212114536,0.88688331751604,0.06402737145505864,0.15069886389306536,0.1553146444736458,3.116152676770462e-07,0.4588006228412328,3.9259887005649714e-07,0.053046332256067745,5.263214285714286e-07,0.006616940492723132,0.03685679804825278,0.0006729222299711005,0.4127373942143707,0.8543004584037978,0.050756461213425044,0.6347689008239468,0.9686463151394724,0.17619476900742267,0.033033050430148016,0.5354564144428211,2.5996121883656513e-08,3.686025759876343e-06,0.9709034448806473,3.5012744827953234e-07,2.8601960784313724e-06,0.4643622379334043,0.012332953682611997,4.575175064538312e-06,4.695949324312675e-06,0.0619849034637544,0.043882729796887864,0.46208798742909357,0.0004884227353520864,0.017748346768984038,0.6395312813931934,0.0329319908133383,2.8328307508802753e-06,0.012006841817408867,0.17249143342329504,0.5872827905779379,0.7217426422333283,0.4216035869510602,0.23329409265520723,0.002321430619772934,0.48083549999999997,0.3106537295068697,0.0006280881992175849,0.523441209427763,0.9999098277782997,0.3303213513914779,0.8613604219264273,0.6473589413710715,0.7413161245225554,0.6357557054329162,0.17542937402414993,1.0,0.2816901408450705,0.04834859483719389,0.03359002722940775,0.06172839506172839,0.49655535687057295,1.0,0.6101694915254239,0.07568418503269547,0.09947731590396787,0.09986158008431034,0.0370370370370372,0.19999999999999996,0.7743055555555556,0.611111111111111,0.011284785121275365,0.3125,0.5416666666666666
38,0.009501187648456057,0.38461538461538464,0.0814884439148022,0,0.018753892483697108,0.3334842033171545,0.8375019043566426,0.06512222772549474,0.2652016697242828,0.427861683683298,0.014490665666001044,0.4096050141242938,0.5427992023068424,0.3926838681221745,0.8379469665093127,0.06402739594086021,0.1624980693641983,0.14395266727724018,3.9057991414176325e-07,0.4588014337935282,3.785593220338983e-07,0.050345344207478805,4.534857142857143e-07,0.006281789315499844,0.0395549625010821,0.0008272455207200317,0.43957267432506353,0.8540394455652288,0.05518440626296343,0.6554821325463527,0.9686680238686376,0.14695288048017108,0.017117573791385454,0.5039526165965602,4.1587257617728535e-08,3.414871904979523e-06,0.9847153671046929,3.537596321876164e-07,2.2818627450980394e-06,0.46590126432128637,0.006006359149582385,4.275910540500633e-06,4.38967451836373e-06,0.05116850594013455,0.04188142948583431,0.46266063010553765,0.0006336175220261805,0.017882145780160248,0.6211143733027421,0.03331707358720925,2.6206018331207777e-06,0.017329173991024967,0.16203717742669133,0.5604453597631612,0.733908829320006,0.421604356735504,0.2502487209899273,0.004259325417545398,0.590165,0.3122079155558914,0.000873659509225179,0.5204558144835053,0.9999096102503535,0.3511366073343341,0.9546085416308672,0.8684065429149055,0.6379334448411015,0.6778751151041538,0.16747871027565847,0.5023388331348868,0.056338028169013565,0.05329979818669234,0.11211566825504878,0.3292181069958846,0.16679419470204185,0.5,0.47457627118644075,0.17340760474691197,0.13988443858215788,0.13333403242381664,0.0370370370370372,0.0,0.47916666666666674,0.611111111111111,0.016878457449160666,0.3333333333333333,0.5555555555555555
65,0.014251781472684084,0.3076923076923077,0.06962432780152329,0,0.017160178824387518,0.31608651202493326,0.8836372423865134,0.11668610325751436,0.35412512296934406,0.3860656264046748,0.012436586424417613,0.40960473359322036,0.5435389549141671,0.3505687874444077,0.736183926968127,0.06402741019550343,0.11636244049176316,0.1985591791767876,5.972718333338673e-07,0.4588026727655316,6.571186440677966e-07,0.026648407473303645,7.151428571428572e-07,0.003474667674554613,0.08038494541327448,0.0009358268097867169,0.47659684010683134,0.8167254851848025,0.050705210453707905,0.7527243398803032,0.9685280771297902,0.11298557613505983,0.13039422993366742,0.41764489659089793,3.038227146814404e-08,1.5635897940054915e-06,0.8895046222076354,6.575067586275821e-07,1.4922549019607845e-06,0.46484490176327165,0.05981776765375855,1.2560651982568457e-06,3.665777014562019e-06,0.08114836016958892,0.09810584445809292,0.4618927572410872,0.0002979352706912163,0.01763888628894633,0.595697147634695,0.032595459603448125,3.7279512416518844e-06,0.010565161549021596,0.20292552384995605,0.5234200025743339,0.8169014084507041,0.42160552532408807,0.331161819115226,0.006195875186035806,0.428895,0.30098323853517966,0.0008661607681596477,0.5070879152185062,0.999909377796274,0.39895907223807714,0.8613604219264273,0.6473589413710715,0.7413161245225554,0.6357557054329162,0.17542937402414993,1.0,0.2816901408450705,0.04834859483719389,0.03359002722940775,0.06172839506172839,0.49655535687057295,1.0,0.6101694915254239,0.07568418503269547,0.09947731590396787,0.09986158008431034,0.0370370370370372,0.19999999999999996,0.7743055555555556,0.2222222222222222,0.010578264166377423,0.24999999999999997,0.6388888888888888
68,0.014251781472684084,0.5384615384615385,0.05984564155593195,0,0.018938939062426812,0.2708672046372669,0.8599549258482923,0.09779675775663663,0.28931695514610084,0.4291671482694407,0.01692746858057712,0.4096045823841808,0.49866399870644357,0.3156421141617966,0.7391835819566146,0.0640273825259042,0.14004490632607625,0.16690890508236103,4.2522637878825886e-07,0.4588016724575945,6.780225988700564e-07,0.023083975076469317,1.228e-06,0.003286889126035312,0.06710758788868779,0.0007612815248193703,0.4548058049361264,0.7469154264025362,0.04207880316814108,0.7458504797954337,0.968684584737229,0.06353369080790816,0.19072792051675697,0.5119977139660248,1.749168975069252e-08,2.299743663895581e-06,0.8340255073488262,6.513228505815403e-07,2.095980392156863e-06,0.45904634589495685,0.07557137433561124,1.2999404208488108e-06,2.568611832372992e-06,0.08361156096747775,0.0710206431456342,0.46133997169317176,0.00033672017946032365,0.017461350958795734,0.6236400873662447,0.031096138357727694,3.1430114768364644e-06,0.005524817016226765,0.16047927343299875,0.5452117389625434,0.8041799182189913,0.4216046422470104,0.28979093274796863,0.004584471626598898,0.20317000000000002,0.2546598599073964,0.000808255653530827,0.502130932710387,0.9999089385104586,0.28791303056797374,0.5101887499504315,0.3399816210255468,0.6326664503083107,0.4917199671486524,0.5405101352042382,0.33972614390202405,0.4507042253521125,0.07671164794120305,0.2596153846153846,0.016460905349794275,0.12411943277747745,0.5,0.4067796610169492,0.4518951319932185,0.2405823350493646,0.21027243556133474,0.11111111111111116,0.0,0.7430555555555556,0.2222222222222222,0.005366595701665223,0.3125,0.6805555555555555
75,0.0166270783847981,0.23076923076923078,0.0853306205790339,0,0.02247988244916086,0.4311308300826807,0.7361008232074093,0.1727718938254086,0.5089557133108221,0.5073717331278494,0.021238973176869364,0.40960494141242937,0.5704449295281214,0.4447476752306392,0.8328485768019173,0.06402746211143695,0.2638997897577013,0.08341629169487251,5.723728434348551e-07,0.45880389296620394,9.607909604519772e-07,0.07390983025522409,4.911214285714285e-07,0.010992348332641167,0.10556781363968154,0.0008442308765649277,0.5790520320494256,0.7139625555332003,0.060592868788407916,0.2980414081331513,0.9686536558689175,0.08519407435158952,0.0638849462677056,0.6087820325172053,1.5631578947368422e-08,1.5362500495342165e-06,0.9352638466361184,1.1953688275987379e-06,1.5571568627450981e-06,0.477045460964198,0.014779802581624906,2.3566231661055865e-06,4.236571598028973e-06,0.13329702158004286,0.07325387641635331,0.46335157303496,0.0003632048809949637,0.01782043252064755,0.6448860285301341,0.03759046499648527,1.5143367619497813e-06,0.015638724521180185,0.08938426782302816,0.4209615137083279,0.5862486748447675,0.4216067655260778,0.5609410681725646,0.0016407873235186725,0.67321,0.24512967739846525,0.0008165374669144554,0.5352071107059427,0.9999104976971552,0.4735066563288738,0.8498142836371326,0.7988935857379159,0.6934318596000699,0.4957741220975089,0.0,0.7811277428134034,0.3380281690140845,0.0414432663634447,0.09306690114212236,0.0,0.8052840964222843,1.0,0.7457627118644066,0.0,0.07619769467767813,0.07655565109792162,0.28400000000000025,0.3999999999999999,0.8958333333333334,0.7777777777777777,0.015880778797575344,0.08333333333333333,0.5555555555555555
